Relation Matrix:
          A   B   C   D   E   F   G   H   I   J   K   L   M   N   O   P   Q   R   S   T   U   V   W   X   Y   Sum
A   | [   0 126 102 164  15 124 160  79 198  16 137 129 156 119  62  70 100 152  52 116  31  15  48  69  24] 2264
B   | [ 126   0  72  85 160 146 161  68 141 159 159 134  29  90 111 162 129 184 162  53  93  31  24  14  97] 2590
C   | [ 102  72   0 198 157  68  41 139 173  66  40  88  69  47  94  17 121 148  38 135  40  57  92  14  67] 2083
D   | [ 164  85 198   0  17  58 132 150 173  47 132  63  61 102 177 199  93 126 185  36 186  63 156  72 140] 2815
E   | [  15 160 157  17   0 145 176 189 113 101  65  82  24 164 123  94 137  75 155 101  46  93  78  14  80] 2404
F   | [ 124 146  68  58 145   0  28 100 111  86  36  43 167  17  94 189  75 185 156  51 134 169 199  23 111] 2515
G   | [ 160 161  41 132 176  28   0 105 145 125 191 120  87 188  98 172 106  81 116  60  41 120 129  88  47] 2717
H   | [  79  68 139 150 189 100 105   0  74 183  61  92  50 191 143 120  99 155  73  80  81 161  36  51  84] 2564
I   | [ 198 141 173 173 113 111 145  74   0 124  54 130 175  80 124  21 162  40  18 178  94  35 131  33 133] 2660
J   | [  16 159  66  47 101  86 125 183 124   0  36 147  74  30 161 110 197 189 116 170 116  76  72 185  90] 2676
K   | [ 137 159  40 132  65  36 191  61  54  36   0 129  47  45 101 124  46 163  70 112 122 145 122 136  65] 2338
L   | [ 129 134  88  63  82  43 120  92 130 147 129   0 170  48  38  92 142 198  99  69  84  71  14  27  98] 2307
M   | [ 156  29  69  61  24 167  87  50 175  74  47 170   0 122  16  33  87  46 143 146  61 128 133 105  61] 2190
N   | [ 119  90  47 102 164  17 188 191  80  30  45  48 122   0 196 196  45 191  34  64  48  66  86 120 119] 2408
O   | [  62 111  94 177 123  94  98 143 124 161 101  38  16 196   0  35  65  71 191  50 178  60  57  77  16] 2338
P   | [  70 162  17 199  94 189 172 120  21 110 124  92  33 196  35   0 128 165  75 103 162 174  45 123 169] 2778
Q   | [ 100 129 121  93 137  75 106  99 162 197  46 142  87  45  65 128   0 102  59 176  25 122 144  73 174] 2607
R   | [ 152 184 148 126  75 185  81 155  40 189 163 198  46 191  71 165 102   0  90  31 139  15 194 113 169] 3022
S   | [  52 162  38 185 155 156 116  73  18 116  70  99 143  34 191  75  59  90   0 130  86 107 154 151 183] 2643
T   | [ 116  53 135  36 101  51  60  80 178 170 112  69 146  64  50 103 176  31 130   0  86 165  16 136 113] 2377
U   | [  31  93  40 186  46 134  41  81  94 116 122  84  61  48 178 162  25 139  86  86   0 158  62 160  49] 2282
V   | [  15  31  57  63  93 169 120 161  35  76 145  71 128  66  60 174 122  15 107 165 158   0 175  19 193] 2418
W   | [  48  24  92 156  78 199 129  36 131  72 122  14 133  86  57  45 144 194 154  16  62 175   0 126  84] 2377
X   | [  69  14  14  72  14  23  88  51  33 185 136  27 105 120  77 123  73 113 151 136 160  19 126   0  34] 1963
Y   | [  24  97  67 140  80 111  47  84 133  90  65  98  61 119  16 169 174 169 183 113  49 193  84  34   0] 2400

Q-Score Matrix:
            A     B     C     D     E     F     G     H     I     J     K     L     M     N     O     P     Q     R     S     T     U     V     W     X     Y     Sum
A   | [     0 -1830 -1899 -1143 -4308 -1803 -1141 -2932  -172 -4556 -1314 -1475  -710 -1816 -3114 -3362 -2471 -1638 -3659 -1857 -3802 -4322 -3489 -2571 -4088] -59472
B   | [ -1830     0 -2945 -3365 -1154 -1601 -1443 -3522 -1866 -1450 -1112 -1681 -4084 -2838 -2264 -1480 -2101 -1196 -1345 -3695 -2640 -4264 -4391 -4217 -2662] -59146
C   | [ -1899 -2945     0  -146  -719 -2966 -3816 -1311  -591 -3175 -3461 -2278 -2617 -3363 -2165 -4453 -1786 -1553 -3814 -1220 -3405 -3133 -2252 -3710 -2875] -59653
